CID,IDSURVEY,zHD,zHEL,MU,MUERR
Gaia16agf,150,0.02509,0.02507,35.25995,0.1773
2003it,63,0.0251,0.02528,35.08017,0.1641
2007cq,64,0.0251,0.02604,34.98002,0.1331
AT2017cfc,150,0.02512,0.02403,35.13565,0.1211
2007sw,65,0.02517,0.02428,35.21658,0.1559
2002he,63,0.02519,0.02441,35.23294,0.1246
ASASSN-16bq,150,0.02534,0.02493,35.34029,0.1135
PS15ahs,150,0.02534,0.02551,35.30465,0.1105
PSNJ0153424,150,0.02556,0.02565,35.26944,0.1516
SN2017hn,150,0.02557,0.02385,35.20203,0.122
SN2017ms,150,0.02591,0.02448,35.33251,0.1146
2005M,64,0.02598,0.02484,35.16595,0.1391
SN2017mf,150,0.02598,0.02561,35.36794,0.1168
2005ms,64,0.02669,0.02522,35.48988,0.1058
ASASSN-15mf,150,0.02695,0.02604,35.3286,0.1032
ASASSN-17at,150,0.02713,0.02537,35.38339,0.1156
2007co,64,0.02731,0.02696,35.4217,0.145
2007su,65,0.0274,0.02783,35.4032,0.2219
ASASSN-15fa,150,0.02741,0.02734,35.58097,0.1446
2005na,64,0.02748,0.02665,35.27905,0.0994
2005eq,64,0.02823,0.02893,35.63531,0.1201
2003U,63,0.02833,0.0281,35.33929,0.1479
2009ad,65,0.02844,0.0284,35.46983,0.097
2008ar,65,0.02849,0.02617,35.45147,0.0994
AT2017ns,150,0.02849,0.02877,35.47203,0.1756
2004gs,5,0.02857,0.0274,35.54768,0.167
SN2017ckx,150,0.02858,0.02716,35.56905,0.137
2007is,65,0.02866,0.02953,35.58174,0.1241
2006qo,64,0.02898,0.02837,35.52838,0.1771
ASASSN-15la,150,0.02902,0.02782,35.17845,0.1357
PS16cvc,150,0.02915,0.02954,35.81677,0.1046
2003ch,63,0.02919,0.02833,35.74741,0.1139
ASASSN-16ay,150,0.02938,0.02834,35.70388,0.1707
PSNJ0859349,150,0.02938,0.02812,35.55198,0.1347
ASASSN-16fs,150,0.02944,0.0292,35.4407,0.1101
ASASSN-16aj,150,0.02953,0.03075,35.53344,0.1119
ASASSN-16br,150,0.02956,0.02852,35.56537,0.1169
AT2017zd,150,0.02969,0.02947,35.385,0.1163
ATLAS17ajn,150,0.02978,0.02871,35.71706,0.1251
Gaia16bba,150,0.0299,0.03046,35.52993,0.1114
2004ef,64,0.03012,0.03101,35.5473,0.1369
ASASSN-15nq,150,0.03023,0.03036,35.69492,0.0921
AT2017lm,150,0.03031,0.03064,35.62306,0.1336
ASASSN-16fo,150,0.03036,0.0289,35.61376,0.0907
AT2016cyt,150,0.03059,0.03074,35.5107,0.0997
2006is,64,0.03071,0.0314,35.72373,0.1121
ASASSN-16hr,150,0.03083,0.03086,35.60979,0.1733
PS15cwx,150,0.03086,0.03007,35.56461,0.1015
AT2017wb,150,0.03117,0.03065,35.58907,0.1813
2007bd,64,0.0312,0.03044,35.70509,0.1008
2002hd,63,0.03134,0.03049,36.00315,0.1791
ASASSN-15hg,150,0.03143,0.02992,35.8135,0.1302
ATLAS17axb,150,0.03143,0.03165,35.73926,0.1037
CSS160428,150,0.03148,0.03029,35.77221,0.1108
2007R,64,0.03174,0.03081,35.84381,0.1068
ASASSN-16oz,150,0.03192,0.031,35.54453,0.1158
2006az,64,0.03201,0.03103,35.60595,0.0962
2007ob,65,0.03243,0.03389,35.74894,0.1845
AT2017po,150,0.03255,0.03182,35.72144,0.1105
2007ux,65,0.03264,0.0307,35.67592,0.1568
ASASSN-15pr,150,0.03264,0.03309,36.05743,0.1301
2004gc,5,0.03267,0.03192,35.53403,0.1497
2008gl,65,0.03272,0.03354,35.80144,0.096
SN2016hpx,150,0.03282,0.03338,35.73067,0.119
SN2017cii,150,0.03289,0.03323,35.95132,0.1058
2006te,64,0.0329,0.03155,35.86396,0.0989
2004as,63,0.03296,0.03139,35.89486,0.1689
ASASSN-16bc,150,0.03298,0.03194,35.83813,0.0862
2008gp,5,0.03333,0.03303,35.79166,0.0911
2010ag,66,0.03335,0.0334,35.617,0.162
2005iq,64,0.03341,0.03404,36.04919,0.0898
PS15bsq,150,0.03371,0.0343,35.94327,0.0879
2004L,63,0.03373,0.03229,35.9177,0.1835
2003cq,63,0.03378,0.03275,35.83146,0.1865
2006S,64,0.03393,0.03224,36.02516,0.1264
2006gr,64,0.03428,0.03467,36.06484,0.1453
ASASSN-16dw,150,0.03437,0.03466,35.88308,0.1347
ATLAS17ajs,150,0.03451,0.03265,35.99496,0.209
2003kc,63,0.03479,0.03316,35.90221,0.1476
2003iv,63,0.03491,0.03426,36.01126,0.1344
ASASSN-15jl,150,0.03512,0.03468,36.01851,0.1008
2005eu,64,0.03516,0.03449,35.99892,0.1263
ASASSN-15tg,150,0.03529,0.03561,35.9573,0.095
2007hu,65,0.03551,0.03518,36.00256,0.2289
PTSS-16efw,150,0.03568,0.03557,36.38234,0.0909
ASASSN-15ss,150,0.03599,0.03556,36.14277,0.0907
PS15bbn,150,0.03624,0.0371,36.32659,0.1121
ASASSN-15lu,150,0.03635,0.03505,36.14299,0.1132
2008hj,65,0.03682,0.03761,36.11617,0.0895
2006mo,64,0.03702,0.03718,36.05893,0.1337
2002hu,63,0.03705,0.0367,36.05504,0.0933
2001eh,63,0.03725,0.03713,36.01068,0.1125
ASASSN-16db,150,0.0373,0.03486,36.00728,0.1211
AT2016hns,150,0.0374,0.03817,36.13761,0.1017
ASASSN-15bc,150,0.03753,0.03672,36.16609,0.1296
2007jg,5,0.03756,0.03707,36.30183,0.1224
AT2016cvw,150,0.03787,0.03888,36.25411,0.1
2008gb,65,0.03796,0.037,36.20641,0.1163
2007O,64,0.03818,0.03694,36.04309,0.0932
2008fr,65,0.03828,0.039,36.24514,0.0994
2009bv,65,0.03848,0.03667,36.31572,0.0942
2008051,65,0.03873,0.03777,36.12057,0.1044
ASASSN-15np,150,0.03884,0.03768,36.17443,0.1262
2010dw,66,0.03902,0.03812,36.15798,0.1499
ASASSN-15pn,150,0.03909,0.03836,36.37011,0.1167
PS15cze,150,0.04035,0.03937,36.43433,0.1503
2003fa,63,0.04056,0.04039,36.16885,0.1017
SN2016glz,150,0.04077,0.04099,36.15319,0.1167
PS16axi,150,0.04089,0.0393,36.24039,0.0952
SN2017coa,150,0.04095,0.04,36.48436,0.1391
2009do,65,0.04099,0.03964,36.20463,0.0963
2001az,63,0.04101,0.04069,36.41367,0.0927
2006cf,64,0.04268,0.04146,36.40134,0.1065
2007kk,65,0.04285,0.04177,36.24371,0.1092
AT2016htm,150,0.04289,0.04332,36.45301,0.0793
ASASSN-16ct,150,0.04306,0.04191,36.27389,0.154
2007nq,65,0.04349,0.04389,36.36083,0.0883
SN2016ayg,150,0.04349,0.04269,36.57204,0.092
MASTERJ0134,150,0.04369,0.04485,36.40534,0.1003
AT2016cvv,150,0.04438,0.04457,36.55894,0.1343
2005ku,5,0.04439,0.04525,36.42577,0.1621
PSNJ1204051,150,0.04545,0.04385,36.57682,0.1173
2005hc,64,0.04575,0.04592,36.69777,0.0872
SN2016esh,150,0.04583,0.04457,36.44319,0.1013
PS17tn,150,0.0459,0.0447,36.48276,0.1171
2008050,65,0.04625,0.04526,36.31584,0.1717
AT2016ews,150,0.04631,0.04555,36.71175,0.0759
2005lz,64,0.04643,0.04624,36.44687,0.1231
2004gu,5,0.04664,0.04558,36.54971,0.1315
2008cf,65,0.04682,0.04603,36.57974,0.0945
AT2017yk,150,0.04691,0.04644,36.75031,0.1648
2016afk,150,0.04738,0.04561,36.64349,0.1512
PS16fa,150,0.0476,0.04611,36.71459,0.0942
PS15aii,150,0.04777,0.04655,36.71031,0.077
PS17akj,150,0.04777,0.04681,36.59991,0.1115
ATLAS16agv,150,0.04819,0.04779,36.59722,0.0935
ASASSN-15pm,150,0.04837,0.04879,36.70692,0.0765
AT2016gmg,150,0.04865,0.04944,36.85198,0.1038
PS16el,150,0.0494,0.04781,36.70592,0.0915
2006cq,64,0.04944,0.04844,36.83597,0.1159
PS15asb,150,0.04989,0.04863,36.69189,0.0956
PS16dnp,150,0.05023,0.05127,36.97734,0.0903
2007kh,65,0.05032,0.05,36.64724,0.1981
ASASSN-17eb,150,0.05044,0.04924,36.61242,0.1205
PS15brr,150,0.05049,0.0518,36.62315,0.0947
AT2016cor,150,0.05066,0.04954,36.87577,0.1949
PS16fbb,150,0.05106,0.0525,36.86014,0.0965
2003ic,63,0.05126,0.05311,36.49961,0.1333
ASASSN-16hc,150,0.05151,0.05093,36.79875,0.0748
AT2016htn,150,0.05222,0.05312,36.98666,0.1272
PS16evk,150,0.05262,0.05447,37.02932,0.102
PS16n,150,0.05309,0.05273,36.98166,0.0795
2010dt,66,0.05316,0.05286,36.98605,0.1032
2006lu,5,0.05346,0.0534,36.98406,0.0783
PS16bby,150,0.05468,0.05342,36.90225,0.0939
PS16ayd,150,0.05469,0.05399,37.0434,0.068
SN2017cpu,150,0.05502,0.0544,36.83115,0.0838
AT2017oz,150,0.05614,0.05569,36.99623,0.1009
2006py,5,0.05653,0.05787,36.96139,0.1189
PS16aer,150,0.05693,0.05547,37.13672,0.1003
2005hj,64,0.05708,0.05739,37.07054,0.1121
2006ob,64,0.05824,0.0586,37.05644,0.0849
SN2016gmb,150,0.0583,0.05827,37.05872,0.0979
2001ah,63,0.05886,0.05776,37.15499,0.1291
SN2017cjv,150,0.06092,0.05953,37.20488,0.1051
2008bz,65,0.06099,0.06015,37.36659,0.0716
SN2016hhv,150,0.06121,0.06194,37.37005,0.1459
2006oa,64,0.06153,0.06257,37.2229,0.1098
SN2016aqb,150,0.06384,0.06289,37.1975,0.0646
PS16bnz,150,0.06446,0.0627,37.20911,0.0938
2007ae,64,0.06533,0.06499,37.1436,0.1021
PS15cms,150,0.06627,0.06479,37.36253,0.1098
SN2016ixf,150,0.06711,0.06602,37.52847,0.1018
AT2016aj,150,0.06725,0.06741,37.41339,0.1113
PS15bjg,150,0.06786,0.06889,37.54095,0.0941
CSS160129,150,0.06844,0.06766,37.39806,0.0952
2006al,64,0.06886,0.0678,37.60919,0.0802
PTSS17-niq,150,0.06897,0.06828,37.40023,0.0847
2008Y,65,0.07056,0.06965,37.36244,0.1087
PS17yt,150,0.07073,0.06976,37.53894,0.0647
PS16em,150,0.07083,0.06982,37.60601,0.1686
2006on,64,0.07089,0.07191,37.37352,0.1761
ATLAS16bwu,150,0.07091,0.0718,37.34903,0.1488
PS15bdr,150,0.07116,0.07096,37.55578,0.0881
PS15bwh,150,0.07158,0.07267,37.45519,0.0885
PS15mt,150,0.07193,0.07085,37.72225,0.1089
PS15atx,150,0.07252,0.07188,37.86168,0.13
1371046,10,0.07334,0.07411,37.60807,0.1792
1318737,10,0.07374,0.07451,37.36177,0.1858
Gaia16aki,150,0.07393,0.07363,37.69622,0.0899
PS17bii,150,0.07446,0.07339,37.47561,0.092
2005ir,64,0.0752,0.07603,37.78693,0.0745
AT2016gsu,150,0.07575,0.07642,37.66958,0.0962
PS15bif,150,0.07845,0.07937,37.67794,0.1107
Gaia16acv,150,0.07859,0.07772,37.95956,0.0823
PS15bzz,150,0.07931,0.08024,37.67811,0.0922
SN2016glp,150,0.0841,0.08493,38.0676,0.1372
2006bu,64,0.08478,0.084,37.92895,0.1198
SN2016grz,150,0.08704,0.08748,38.06308,0.1619
1864053,10,0.09333,0.09422,38.14556,0.0994
1344303,10,0.09394,0.09475,38.19696,0.2395
1317612,10,0.10442,0.10525,38.35683,0.1256
1259241,10,0.10543,0.10582,38.31943,0.1444
1330031,10,0.10563,0.10643,38.54264,0.0821
1336975,10,0.11048,0.11088,38.25468,0.1023
1289982,10,0.11621,0.11665,41.38301,206.3178
1879649,10,0.11979,0.1202,39.18096,194.6456
1833339,10,0.13051,0.13092,38.87889,0.1062
1334084,10,0.13349,0.13431,38.98171,0.1961
1815065,10,0.13537,0.13617,38.89598,0.1589
1317666,10,0.14136,0.14227,39.34775,0.1421
1296657,10,0.14624,0.14715,39.29023,0.1306
1283923,10,0.14631,0.14715,39.46035,0.1576
1316385,10,0.1474,0.14784,39.00672,0.1375
1530193,10,0.14802,0.14893,39.16841,0.1602
1293758,10,0.14812,0.14896,39.29882,0.0844
1871023,10,0.1484,0.14883,39.93288,192.4317
1277173,10,0.1494,0.15035,39.34373,0.0979
1247420,10,0.15026,0.15123,39.18191,0.1013
1306366,10,0.15062,0.15145,39.60073,0.2443
1317164,10,0.15459,0.15555,39.23567,0.1743
1299775,10,0.16008,0.16051,39.12071,0.1843
1578103,10,0.16008,0.16092,39.39296,0.1643
1250034,10,0.16085,0.16167,39.40043,0.1053
1479069,10,0.17267,0.17353,39.59667,0.0994
1303279,10,0.17273,0.17315,39.29306,0.0826
1770639,10,0.17623,0.17718,40.67369,121.9264
1294436,10,0.178,0.17885,41.63537,256.203
1303496,10,0.17978,0.18021,39.69446,0.1495
1339392,10,0.18148,0.18191,39.3871,0.0959
1250017,10,0.18216,0.18299,39.8153,0.096
1257695,10,0.18383,0.18472,39.78048,0.0953
1296321,10,0.18444,0.18531,40.03362,0.1941
1336453,10,0.18492,0.18579,39.8538,0.1078
1273127,10,0.18937,0.19024,39.9733,0.1246
1295844,10,0.19209,0.19294,40.96771,132.5901
1261193,10,0.19246,0.19293,39.86546,0.2171
1879208,10,0.19471,0.19515,39.99672,0.087
1253920,10,0.19555,0.19599,39.74864,0.1067
1298893,10,0.19616,0.19712,39.9279,0.1359
1334620,10,0.19624,0.1972,39.94861,0.1849
1922067,10,0.19771,0.1987,39.8289,0.1094
1324938,10,0.19847,0.19933,40.74201,192.8023
1281119,10,0.19902,0.19947,40.11619,0.197
1335323,10,0.19991,0.20081,39.82392,0.1936
1782065,10,0.20173,0.20216,39.82988,0.1012
1550021,10,0.20587,0.20676,39.94322,0.1771
1327978,10,0.20699,0.20786,39.99299,0.1567
1283373,10,0.20753,0.20797,40.16818,0.1003
1315197,10,0.20823,0.2091,39.99434,0.104
1324509,10,0.21062,0.21105,39.95602,0.1525
1791048,10,0.21094,0.21139,39.90133,0.1228
1257366,10,0.21136,0.21182,40.13584,0.164
1309013,10,0.2126,0.21358,40.01692,0.1966
1887027,10,0.21303,0.21348,40.10499,0.1764
1292805,10,0.21415,0.21514,41.12692,0.8952
1297501,10,0.21492,0.21541,39.79939,0.2285
1249851,10,0.21511,0.21552,40.09896,0.0946
1371126,10,0.21601,0.21648,40.25572,0.0889
1304442,10,0.21711,0.2176,40.18207,0.1705
1282114,10,0.21781,0.21881,40.26232,0.1452
1313230,10,0.21792,0.21883,40.09856,0.0956
1295062,10,0.21839,0.21938,40.05123,0.2672
1290816,10,0.21847,0.21892,40.31675,0.1664
1919017,10,0.21849,0.21939,40.17131,0.2113
1304678,10,0.21883,0.21927,40.10356,0.1106
1342255,10,0.21885,0.21976,40.06356,0.1118
1250912,10,0.21898,0.21995,40.34771,0.1788
1682020,10,0.21924,0.22015,39.95573,0.1013
1302187,10,0.21942,0.21992,39.96014,0.1979
1259352,10,0.21986,0.22034,40.0411,0.1358
1867019,10,0.22101,0.22191,40.45498,0.1737
1331123,10,0.22157,0.22248,40.28881,0.1108
1929063,10,0.22211,0.223,40.1587,0.2004
1259246,10,0.22284,0.2233,40.09276,0.1782
1249137,10,0.22305,0.22397,40.20316,0.2129
1641279,10,0.22398,0.2249,40.17738,0.1073
1878148,10,0.22453,0.2254,40.24418,0.1203
1292560,10,0.22482,0.22582,40.26777,0.0985
1248039,10,0.22566,0.22666,40.27718,0.1907
1315192,10,0.22714,0.228,40.14119,0.1618
1249308,10,0.22806,0.22896,40.50123,0.1892
1315259,10,0.22806,0.22896,40.23671,0.1527
1879426,10,0.22941,0.2299,40.24144,0.1026
1288083,10,0.23048,0.23147,40.25625,0.1114
1291149,10,0.23057,0.23156,42.30845,238.612
1262746,10,0.23079,0.23176,40.29796,0.1226
1302648,10,0.23171,0.23259,40.15341,0.1707
1275946,10,0.23212,0.233,40.32782,0.1157
1262201,10,0.23279,0.23323,40.78688,201.5004
1310367,10,0.23332,0.23433,40.44286,0.1187
1292336,10,0.23355,0.23446,40.2262,0.1776
1336687,10,0.2338,0.2348,40.15655,0.22
1279500,10,0.2347,0.23568,40.35195,0.1408
1656029,10,0.2348,0.23571,40.97115,111.2664
1319366,10,0.23482,0.23572,40.24048,0.1461
1860025,10,0.23532,0.23625,40.59127,0.1108
1921033,10,0.23707,0.23797,40.5112,0.1453
1317277,10,0.2371,0.2381,40.3202,0.1215
1373042,10,0.2372,0.2382,40.46564,0.1018
1434248,10,0.23734,0.23835,40.33508,0.1117
1262573,10,0.23747,0.23837,40.41081,0.1341
1840041,10,0.23891,0.23993,40.39397,0.1535
1834104,10,0.23928,0.23972,40.38821,0.0998
1366436,10,0.23954,0.24,40.44745,0.1127
1368188,10,0.24003,0.2405,40.4215,0.0905
1319711,10,0.24171,0.2427,40.38161,0.0839
1780045,10,0.24283,0.24326,40.52226,0.1151
1344355,10,0.24448,0.2454,40.34132,0.2067
1927242,10,0.24576,0.24666,40.75279,0.1332
1246275,10,0.24605,0.24651,40.59366,0.0993
1276528,10,0.24618,0.24709,40.23354,0.1873
1334645,10,0.24701,0.248,40.26524,0.102
1879256,10,0.24936,0.25028,40.35571,0.2089
1901059,10,0.25126,0.25229,40.41245,0.1417
1367234,10,0.25173,0.25278,40.51833,0.1434
1305276,10,0.25286,0.2539,40.70136,0.2031
1302359,10,0.25308,0.25358,40.46937,0.1693
1262726,10,0.25378,0.25478,40.35512,0.1134
1373028,10,0.25517,0.25617,40.30212,0.1141
1336480,10,0.25604,0.25695,40.66634,0.1448
1279420,10,0.25691,0.25736,40.48353,0.173
1321450,10,0.25833,0.25928,40.41248,0.1988
1297026,10,0.25854,0.25956,40.59566,0.0934
1303883,10,0.25904,0.25993,40.50537,0.1502
1289664,10,0.25907,0.26,40.23541,0.1301
1697026,10,0.26046,0.26146,40.98259,0.24
1298079,10,0.26048,0.26136,40.74659,0.1464
1262232,10,0.26103,0.26151,40.86697,0.7274
1337649,10,0.2615,0.26238,40.48657,0.15
1373040,10,0.26162,0.26262,40.58782,0.1271
1910132,10,0.26271,0.26371,40.54026,0.0903
1434201,10,0.26317,0.26423,41.83784,320.3305
1344347,10,0.26361,0.26453,40.69751,0.1275
1261784,10,0.26523,0.26572,40.9081,0.2072
1892103,10,0.26584,0.26685,40.74542,0.1774
1334087,10,0.26628,0.26722,40.58229,0.1056
1300390,10,0.26765,0.2686,40.66311,0.1529
1319870,10,0.26767,0.26812,42.34894,219.2544
1249970,10,0.26775,0.26866,40.88779,0.1635
1309288,10,0.26793,0.26838,40.59362,0.1009
1560034,10,0.26891,0.26982,40.7573,0.1768
1320704,10,0.26996,0.27087,40.44445,0.1428
1309874,10,0.27001,0.27092,40.6088,0.1206
1330817,10,0.27051,0.27144,40.90091,0.1111
1366690,10,0.27119,0.27223,40.77037,0.1154
1773078,10,0.27142,0.27235,40.6058,0.1249
1278493,10,0.27237,0.2734,40.69293,0.1247
1968046,10,0.27255,0.27302,40.77936,0.115
1292332,10,0.27265,0.27358,40.67029,0.1033
1260050,10,0.27278,0.27372,40.65338,0.1059
1574104,10,0.27304,0.27399,40.70865,0.1137
1502065,10,0.27316,0.27405,40.71483,0.1397
1250279,10,0.27382,0.27476,40.46812,0.098
1260556,10,0.27437,0.27487,40.7618,0.1667
1339756,10,0.27539,0.27633,40.69707,0.1095
1547086,10,0.27578,0.27627,41.07373,0.2755
1305756,10,0.27589,0.27638,40.66582,0.6008
1368133,10,0.27618,0.2772,40.76795,0.2444
1792093,10,0.27659,0.27761,40.82561,0.081
1503024,10,0.27694,0.27798,40.92631,0.1242
1297465,10,0.27784,0.27836,41.00841,0.1548
1291242,10,0.27905,0.28008,40.89237,0.2187
1261963,10,0.27963,0.28053,40.93028,0.2183
1255576,10,0.2801,0.28112,40.7781,0.1056
1248084,10,0.28063,0.28165,40.69969,0.1279
1290967,10,0.2811,0.28158,40.48691,0.2756
1902212,10,0.28169,0.28219,41.08529,0.2777
1249483,10,0.28303,0.28398,40.69138,0.1073
1773339,10,0.28417,0.28509,41.9664,6.4634
1297927,10,0.28513,0.28605,40.88255,0.1164
1312897,10,0.28578,0.28683,40.65082,0.2153
1862039,10,0.28699,0.28792,41.02013,0.1374
1334644,10,0.28805,0.2891,40.79063,0.1205
1313594,10,0.28834,0.2894,40.84993,0.0989
1457045,10,0.28848,0.28956,41.84104,136.2306
1334597,10,0.28895,0.29,40.72403,0.1191
1289288,10,0.29001,0.29093,40.8731,0.1653
1538019,10,0.29069,0.29162,40.89234,0.1033
1371022,10,0.29082,0.29178,40.89713,0.1577
1861178,10,0.29093,0.29201,40.58483,0.1372
1531089,10,0.29149,0.29241,40.74212,0.1116
1302123,10,0.29156,0.29207,40.86883,0.1032
1263715,10,0.29185,0.29279,40.83596,0.127
1292227,10,0.29185,0.29279,40.78485,0.1547
1291090,10,0.29199,0.29292,40.86884,0.1247
1262550,10,0.29209,0.29304,40.82885,0.1078
1336454,10,0.29256,0.2935,41.88914,30.5834
1340706,10,0.29323,0.29425,40.88986,0.2023
1266255,10,0.29358,0.29461,40.99129,0.1076
1721068,10,0.29376,0.29425,40.89113,0.1816
1256680,10,0.29438,0.29546,41.07496,0.1846
1250665,10,0.29461,0.29564,40.91041,0.1873
1310432,10,0.29471,0.29574,40.88079,0.1629
1299503,10,0.29498,0.29602,43.93669,248.0366
1300703,10,0.29571,0.29674,41.04146,0.1368
1295436,10,0.29584,0.29687,42.4282,223.8633
1257934,10,0.29648,0.29739,40.82165,0.1308
1293319,10,0.29686,0.2979,40.89235,0.1636
1291346,10,0.2977,0.29876,40.71277,0.1383
1901115,10,0.29874,0.29979,40.92345,0.1893
1305051,10,0.29887,0.2998,41.0903,0.1421
1547071,10,0.29911,0.29961,40.90452,0.2192
1293275,10,0.30179,0.30283,41.80664,47.043
1321006,10,0.30244,0.30348,41.1294,0.118
1294948,10,0.30246,0.30291,40.40637,4.0643
1339002,10,0.30251,0.30356,40.93181,0.1755
1334654,10,0.30259,0.30365,42.00282,15.5403
1905171,10,0.30307,0.30404,41.04589,0.213
1659022,10,0.30317,0.30421,41.38656,129.9918
1259412,10,0.30477,0.30581,40.93882,0.0984
1335717,10,0.30477,0.30528,41.1145,0.1841
1861124,10,0.30511,0.30602,40.37324,169.2725
1340954,10,0.30517,0.30566,40.87119,0.138
1849051,10,0.30546,0.3065,40.93135,0.1245
1368131,10,0.30694,0.308,40.93472,0.0905
1281668,10,0.30697,0.30791,41.00668,0.1151
1777124,10,0.30743,0.30853,41.34191,0.1595
1319821,10,0.3088,0.30929,41.09949,0.1098
1292767,10,0.30893,0.30996,40.93935,0.1835
1650024,10,0.30994,0.31102,41.14081,0.139
1848053,10,0.31016,0.31121,41.7196,25.5919
1300516,10,0.31042,0.31151,40.68442,0.2425
1321338,10,0.31048,0.31153,41.08142,0.1611
1264434,10,0.31075,0.31179,40.85079,0.1347
1323831,10,0.31079,0.31131,41.72013,258.7145
1338128,10,0.31184,0.3128,41.13838,0.1588
1791116,10,0.31193,0.31286,41.03378,0.1277
1337838,10,0.31194,0.313,41.03821,0.1303
1263369,10,0.31251,0.31343,41.06449,0.1108
1294743,10,0.31257,0.31363,41.05905,0.2082
1662023,10,0.31268,0.31374,40.87877,0.1075
1321365,10,0.3127,0.31375,42.23841,195.0641
1283878,10,0.31286,0.3139,41.10731,0.114
1341894,10,0.31293,0.31401,41.09265,0.1346
1850045,10,0.31314,0.31413,40.95914,0.1765
1880686,10,0.31406,0.31457,41.01342,0.1067
1943111,10,0.31562,0.31615,41.11746,0.1092
1929024,10,0.31564,0.31613,41.12722,0.2304
1913214,10,0.31615,0.31721,41.10099,0.1151
1300179,10,0.31722,0.31818,41.10583,0.1381
1265165,10,0.31752,0.31845,41.325,0.2013
1345553,10,0.31794,0.31902,41.1955,0.1235
1625037,10,0.31863,0.31956,41.14129,0.1286
1253119,10,0.31915,0.3201,41.11731,0.1342
1897267,10,0.3192,0.31971,41.09362,0.2375
1259615,10,0.32008,0.32116,41.245,0.1491
1293366,10,0.3204,0.32145,41.26326,0.1538
1566028,10,0.32059,0.32165,41.06264,0.1387
